date,beg_balance,pnl,dividend,fees,deposit,withdraw,end_balance
"Apr 2008","24,703.66","+2,060.18","10.24","0.00","0.00","0.00","26,774.08"
"Mar 2008","24,263.68","+422.81","17.17","0.00","0.00","0.00","24,703.66"
"Feb 2008","24,173.35","+64.11","26.22","0.00","0.00","0.00","24,263.68"
"Jan 2008","22,590.95","-2,432.33","14.73","0.00","4,000.00","0.00","24,173.35"
"Dec 2007","22,826.53","-290.67","55.09","0.00","0.00","0.00","22,590.95"
"Nov 2007","24,856.86","-2,030.37","0.04","0.00","0.00","0.00","22,826.53"
"Oct 2007","23,168.43","+1,688.39","0.04","0.00","0.00","0.00","24,856.86"
"Sep 2007","21,860.89","+1,297.28","10.26","0.00","0.00","0.00","23,168.43"
"Aug 2007","22,028.50","-184.99","17.38","0.00","0.00","0.00","21,860.89"
"Jul 2007","21,903.29","+108.09","17.12","0.00","0.00","0.00","22,028.50"
"Jun 2007","21,558.65","+328.18","16.46","0.00","0.00","0.00","21,903.29"
"May 2007","20,754.62","+787.10","16.93","0.00","0.00","0.00","21,558.65"
"Apr 2007","16,526.36","+216.79","11.47","0.00","4,000.00","0.00","20,754.62"
"Mar 2007","16,331.56","+194.80","0.00","0.00","0.00","0.00","16,526.36"
"Feb 2007","16,049.05","+282.51","0.00","0.00","0.00","0.00","16,331.56"
"Jan 2007","15,923.33","+125.72","0.00","0.00","0.00","0.00","16,049.05"
"Dec 2006","15,995.60","-100.01","27.74","0.00","0.00","0.00","15,923.33"
"Nov 2006","15,614.00","+381.60","0.00","0.00","0.00","0.00","15,995.60"
"Oct 2006","15,109.87","+504.13","0.00","0.00","0.00","0.00","15,614.00"
"Sep 2006","15,225.84","-115.97","0.00","0.00","0.00","0.00","15,109.87"
"Aug 2006","14,549.95","+675.66","0.23","0.00","0.00","0.00","15,225.84"
"Jul 2006","14,919.31","-372.93","3.57","0.00","0.00","0.00","14,549.95"
"Jun 2006","15,157.47","-241.47","3.31","0.00","0.00","0.00","14,919.31"
"May 2006","16,152.14","-998.01","3.34","0.00","0.00","0.00","15,157.47"
"Apr 2006","15,948.48","+200.56","3.10","0.00","0.00","0.00","16,152.14"
"Mar 2006","15,554.96","+390.46","3.06","0.00","0.00","0.00","15,948.48"
"Feb 2006","15,782.14","-237.05","9.87","0.00","0.00","0.00","15,554.96"
"Jan 2006","11,269.23","+507.85","5.06","0.00","4,000.00","0.00","15,782.14"
"Dec 2005","11,005.49","+262.23","1.51","0.00","0.00","0.00","11,269.23"
"Nov 2005","10,507.92","+497.57","0.00","0.00","0.00","0.00","11,005.49"
"Oct 2005","10,685.90","-177.98","0.00","0.00","0.00","0.00","10,507.92"
"Sep 2005","10,491.49","+194.41","0.00","0.00","0.00","0.00","10,685.90"
"Aug 2005","10,614.66","-123.17","0.00","0.00","0.00","0.00","10,491.49"
"Jul 2005","10,025.66","+589.00","0.00","0.00","0.00","0.00","10,614.66"
"Jun 2005","10,155.40","-129.74","0.00","0.00","0.00","0.00","10,025.66"
"May 2005","9,127.69","+1,027.71","0.00","0.00","0.00","0.00","10,155.40"
"Apr 2005","9,631.13","-503.44","0.00","0.00","0.00","0.00","9,127.69"
"Mar 2005","10,017.69","-386.56","0.00","0.00","0.00","0.00","9,631.13"
"Feb 2005","9,971.08","+46.61","0.00","0.00","0.00","0.00","10,017.69"
"Jan 2005","10,695.03","-723.95","0.00","0.00","0.00","0.00","9,971.08"
"Dec 2004","10,319.42","+359.80","15.81","0.00","0.00","0.00","10,695.03"
"Nov 2004","9,645.19","+674.23","0.00","0.00","0.00","0.00","10,319.42"
"Oct 2004","8,955.53","+689.66","0.00","0.00","0.00","0.00","9,645.19"
"Sep 2004","8,646.02","+309.51","0.00","0.00","0.00","0.00","8,955.53"
"Aug 2004","9,214.90","-568.88","0.00","0.00","0.00","0.00","8,646.02"
"Jul 2004","10,671.90","-1,457.00","0.00","0.00","0.00","0.00","9,214.90"
"Jun 2004","10,410.08","+261.82","0.00","0.00","0.00","0.00","10,671.90"
"May 2004","9,714.14","+695.76","0.18","0.00","0.00","0.00","10,410.08"
"Apr 2004","10,581.23","-1,117.53","0.44","0.00","250.00","0.00","9,714.14"
"Mar 2004","10,861.17","-530.23","0.29","0.00","250.00","0.00","10,581.23"
"Feb 2004","10,715.71","-104.71","0.17","0.00","250.00","0.00","10,861.17"
"Jan 2004","9,611.95","+853.62","0.14","0.00","250.00","0.00","10,715.71"
"Dec 2003","9,455.76","-93.87","0.06","0.00","250.00","0.00","9,611.95"
"Nov 2003","9,067.77","+137.73","0.26","0.00","250.00","0.00","9,455.76"
"Oct 2003","8,057.13","+760.38","0.26","0.00","250.00","0.00","9,067.77"
"Sep 2003","7,981.65","-174.64","0.12","0.00","250.00","0.00","8,057.13"
"Aug 2003","7,096.98","+634.56","0.11","0.00","250.00","0.00","7,981.65"
"Jul 2003","6,464.16","+382.56","0.26","0.00","250.00","0.00","7,096.98"
"Jun 2003","6,172.73","+41.26","0.17","0.00","250.00","0.00","6,464.16"
"May 2003","5,220.45","+702.11","0.17","0.00","250.00","0.00","6,172.73"
"Apr 2003","4,532.23","+437.90","0.32","0.00","250.00","0.00","5,220.45"
"Mar 2003","4,335.65","-53.80","0.38","0.00","250.00","0.00","4,532.23"
"Feb 2003","3,991.06","+94.43","0.16","0.00","250.00","0.00","4,335.65"

