date,beg_balance,pnl,dividend,fees,deposit,withdraw,end_balance
"Jun 2008","1,725.65","0.00","3.45","0.00","0.00","0.00","1,729.10"
"May 2008","1,721.80","0.00","3.85","0.00","0.00","0.00","1,725.65"
"Apr 2008","1,717.87","0.00","3.93","0.00","0.00","0.00","1,721.80"
"Mar 2008","1,713.08","0.00","4.79","0.00","0.00","0.00","1,717.87"
"Feb 2008","1,707.97","0.00","5.11","0.00","0.00","0.00","1,713.08"
"Jan 2008","1,701.41","0.00","6.56","0.00","0.00","0.00","1,707.97"
"Dec 2007","1,694.62","0.00","6.79","0.00","0.00","0.00","1,701.41"
"Nov 2007","1,688.01","0.00","6.61","0.00","0.00","0.00","1,694.62"
"Oct 2007","1,680.90","0.00","7.11","0.00","0.00","0.00","1,688.01"
"Sep 2007","1,673.91","0.00","6.99","0.00","0.00","0.00","1,680.90"
"Aug 2007","1,666.78","0.00","7.13","0.00","0.00","0.00","1,673.91"
"Jul 2007","1,659.76","0.00","7.02","0.00","0.00","0.00","1,666.78"
"Jun 2007","1,653.01","0.00","6.75","0.00","0.00","0.00","1,659.76"
"May 2007","1,646.06","0.00","6.95","0.00","0.00","0.00","1,653.01"
"Apr 2007","1,639.35","0.00","6.71","0.00","0.00","0.00","1,646.06"
"Mar 2007","1,632.44","0.00","6.91","0.00","0.00","0.00","1,639.35"
"Feb 2007","1,626.29","0.00","6.15","0.00","0.00","0.00","1,632.44"
"Jan 2007","1,619.46","0.00","6.83","0.00","0.00","0.00","1,626.29"
"Dec 2006","1,612.65","0.00","6.81","0.00","0.00","0.00","1,619.46"
"Nov 2006","1,606.11","0.00","6.54","0.00","0.00","0.00","1,612.65"
"Oct 2006","1,599.36","0.00","6.75","0.00","0.00","0.00","1,606.11"
"Sep 2006","1,592.86","0.00","6.50","0.00","0.00","0.00","1,599.36"
"Aug 2006","1,586.16","0.00","6.70","0.00","0.00","0.00","1,592.86"
"Jul 2006","1,579.61","0.00","6.55","0.00","0.00","0.00","1,586.16"
"Jun 2006","1,573.55","0.00","6.06","0.00","0.00","0.00","1,579.61"
"May 2006","1,567.42","0.00","6.13","0.00","0.00","0.00","1,573.55"
"Apr 2006","1,561.74","0.00","5.68","0.00","0.00","0.00","1,567.42"
"Mar 2006","1,556.12","0.00","5.62","0.00","0.00","0.00","1,561.74"
"Feb 2006","1,551.21","0.00","4.91","0.00","0.00","0.00","1,556.12"
