
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2013 - 12/31/2013,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
03/20/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.200"
03/20/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.238"
03/20/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.682"
03/06/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.240"
03/06/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.282"
03/06/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.744"
03/01/2013,FID REAL ESTATE INVS,Dividends and Interest,"10.98","0.326"
03/01/2013,FID REAL ESTATE INC,Dividends and Interest,"3.54","0.299"
02/28/2013,FIMM MONEY MKT INST,Dividends and Interest,"9.76","9.760"
02/28/2013,FID NEW MARKETS INC,Dividends and Interest,"67.83","3.896"
02/28/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"57.91","6.013"
02/20/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.260"
02/20/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.376"
02/20/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.856"
02/15/2013,FID NEW MARKETS INC,Dividends and Interest,"148.47","8.498"
02/06/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.280"
02/06/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.362"
02/06/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","14.932"
01/31/2013,FIMM MONEY MKT INST,Dividends and Interest,"7.61","7.610"
01/31/2013,FID NEW MARKETS INC,Dividends and Interest,"75.68","4.285"
01/31/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"65.69","6.829"
01/25/2013,FIMM MONEY MKT INST,Exchanges,"31,582.90","31,582.900"
01/25/2013,FID INFLAT PROT BOND,Exchanges,"-19,278.86","-1,453.911"
01/25/2013,FID INFLAT PROT BOND,Dividends and Interest,"1.01","0.076"
01/25/2013,FID INFLAT PROT BOND,Change in Market Value,"1,958.42","0.000"
01/25/2013,FID HIGH INCOME,Exchanges,"-12,304.04","-1,299.265"
01/25/2013,FID HIGH INCOME,Dividends and Interest,"49.77","5.256"
01/25/2013,FID HIGH INCOME,Change in Market Value,"870.54","0.000"
01/23/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.342"
01/23/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.354"
01/23/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","15.022"
01/16/2013,FID SM CAP DISCOVERY,CONTRIBUTION,"3,890.81","155.570"
01/16/2013,FID SEL BIOTECH,CONTRIBUTION,"3,890.81","33.187"
01/16/2013,FID CHINA REGION,CONTRIBUTION,"7,781.61","247.349"
01/09/2013,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.478"
01/09/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.496"
01/09/2013,FID REAL ESTATE INC,CONTRIBUTION,"175.00","15.152"
01/03/2013,FIMM MONEY MKT INST,Exchanges,"-10,000.00","-10,000.000"
01/03/2013,FID SEL BIOTECH,Exchanges,"10,000.00","87.734"
