Date,Investment,Type,Amount,Shares,,
01/31/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,56.76,5.87,,
01/26/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,15.59,,
01/26/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.27,,
01/26/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.30,,
01/26/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.87,,
01/26/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.21,,
01/20/2011,FID NEW MARKETS INC,CONTRIBUTION,5783.30,370.73,,
02/28/2011,FID INFLAT PROT BOND,Dividends and Interest,8.66,0.74,,
01/20/2011,FID HIGH INCOME,CONTRIBUTION,2891.65,318.46,,
01/12/2011,FID SEL WIRELESS,CONTRIBUTION,127.40,16.03,,
01/12/2011,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.27,,
01/12/2011,FID SEL ENERGY,CONTRIBUTION,127.40,2.36,,
01/12/2011,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.88,,
01/12/2011,FID LATIN AMERICA,CONTRIBUTION,127.40,2.16,,
12/31/2010,FID NEW MARKETS INC,Dividends and Interest,36.45,2.33,,
01/31/2011,FID INFLAT PROT BOND,Dividends and Interest,7.44,0.64,,
12/31/2010,FID HIGH INCOME,Dividends and Interest,39.29,4.39,,
12/31/2010,FID CAPITAL &amp; INCOME,Dividends and Interest,192.59,20.42,,
12/30/2010,FID SEL NATURAL RES,Dividends and Interest,7.04,0.20,,
12/30/2010,FID SEL ENERGY,Dividends and Interest,1.31,0.03,,
12/30/2010,FID LATIN AMERICA,Dividends and Interest,2.27,0.04,,
12/29/2010,FID SEL WIRELESS,CONTRIBUTION,127.40,16.63,,
12/29/2010,FID SEL TECHNOLOGY,CONTRIBUTION,127.40,1.33,,
12/29/2010,FID SEL ENERGY,CONTRIBUTION,127.40,2.44,,
12/29/2010,FID SEL CONS STAPLES,CONTRIBUTION,127.40,1.86,,
12/29/2010,FID LATIN AMERICA,CONTRIBUTION,127.40,2.19,,
12/22/2010,FID SEL WIRELESS,CONTRIBUTION,753.20,98.07,,
12/22/2010,FID SEL TECHNOLOGY,CONTRIBUTION,753.20,7.84,,
12/22/2010,FID SEL ENERGY,CONTRIBUTION,753.20,14.59,,
12/22/2010,FID SEL CONS STAPLES,CONTRIBUTION,753.20,11.01,,
12/22/2010,FID LATIN AMERICA,CONTRIBUTION,753.20,13.08,,
12/17/2010,FID NEW MARKETS INC,Dividends and Interest,49.91,3.20,,
