Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,36.259998,36.259998,36.259998,36.259998,36.209846,0
2019-01-15,36.450001,36.450001,36.450001,36.450001,36.399590,0
2019-01-16,36.459999,36.459999,36.459999,36.459999,36.409573,0
2019-01-17,36.820000,36.820000,36.820000,36.820000,36.769073,0
2019-01-18,37.500000,37.500000,37.500000,37.500000,37.448135,0
2019-01-22,36.389999,36.389999,36.389999,36.389999,36.339668,0
2019-01-23,35.939999,35.939999,35.939999,35.939999,35.890293,0
2019-01-24,36.160000,36.160000,36.160000,36.160000,36.109989,0
2019-01-25,36.759998,36.759998,36.759998,36.759998,36.709156,0
2019-01-28,36.290001,36.290001,36.290001,36.290001,36.239811,0
2019-01-29,36.389999,36.389999,36.389999,36.389999,36.339668,0
2019-01-30,37.119999,37.119999,37.119999,37.119999,37.068661,0
2019-01-31,37.169998,37.169998,37.169998,37.169998,37.118591,0
2019-02-01,37.470001,37.470001,37.470001,37.470001,37.418179,0
2019-02-04,37.709999,37.709999,37.709999,37.709999,37.657845,0
2019-02-05,37.540001,37.540001,37.540001,37.540001,37.488079,0
2019-02-06,37.230000,37.230000,37.230000,37.230000,37.178509,0
2019-02-07,36.110001,36.110001,36.110001,36.110001,36.060059,0
2019-02-08,35.820000,35.820000,35.820000,35.820000,35.770458,0
2019-02-11,36.119999,36.119999,36.119999,36.119999,36.070042,0
2019-02-12,36.630001,36.630001,36.630001,36.630001,36.579338,0
2019-02-13,37.240002,37.240002,37.240002,37.240002,37.188496,0
2019-02-14,37.459999,37.459999,37.459999,37.459999,37.408188,0
2019-02-15,38.240002,38.240002,38.240002,38.240002,38.187115,0
2019-02-19,38.299999,38.299999,38.299999,38.299999,38.247028,0
2019-02-20,38.490002,38.490002,38.490002,38.490002,38.436768,0
2019-02-21,37.750000,37.750000,37.750000,37.750000,37.697788,0
2019-02-22,38.000000,38.000000,38.000000,38.000000,37.947445,0
2019-02-25,38.040001,38.040001,38.040001,38.040001,37.987389,0
2019-02-26,37.860001,37.860001,37.860001,37.860001,37.807636,0
2019-02-27,37.889999,37.889999,37.889999,37.889999,37.837597,0
2019-02-28,37.500000,37.500000,37.500000,37.500000,37.448135,0
2019-03-01,38.130001,38.130001,38.130001,38.130001,38.077263,0
2019-03-04,38.189999,38.189999,38.189999,38.189999,38.137180,0
2019-03-05,38.009998,38.009998,38.009998,38.009998,37.957428,0
2019-03-06,37.290001,37.290001,37.290001,37.290001,37.238426,0
2019-03-07,36.880001,36.880001,36.880001,36.880001,36.828995,0
2019-03-08,36.020000,36.020000,36.020000,36.020000,35.970181,0
2019-03-11,36.750000,36.750000,36.750000,36.750000,36.699173,0
2019-03-12,37.230000,37.230000,37.230000,37.230000,37.178509,0
2019-03-13,37.700001,37.700001,37.700001,37.700001,37.647858,0
2019-03-14,37.799999,37.799999,37.799999,37.799999,37.747719,0
2019-03-15,37.730000,37.730000,37.730000,37.730000,37.677818,0
2019-03-18,38.389999,38.389999,38.389999,38.389999,38.336903,0
2019-03-19,38.180000,38.180000,38.180000,38.180000,38.127193,0
2019-03-20,38.759998,38.759998,38.759998,38.759998,38.706390,0
2019-03-21,39.029999,39.029999,39.029999,39.029999,38.976017,0
2019-03-22,37.680000,37.680000,37.680000,37.680000,37.627888,0
2019-03-25,37.639999,37.639999,37.639999,37.639999,37.587940,0
2019-03-26,38.279999,38.279999,38.279999,38.279999,38.227055,0
2019-03-27,38.060001,38.060001,38.060001,38.060001,38.007362,0
2019-03-28,38.230000,38.230000,38.230000,38.230000,38.177124,0
2019-03-29,38.250000,38.250000,38.250000,38.250000,38.197098,0
2019-04-01,38.849998,38.849998,38.849998,38.849998,38.796265,0
2019-04-02,38.520000,38.520000,38.520000,38.520000,38.466724,0
2019-04-03,38.029999,38.029999,38.029999,38.029999,37.977402,0
2019-04-04,38.320000,38.320000,38.320000,38.320000,38.267002,0
2019-04-05,39.189999,39.189999,39.189999,39.189999,39.189999,0
2019-04-08,39.400002,39.400002,39.400002,39.400002,39.400002,0
2019-04-09,38.869999,38.869999,38.869999,38.869999,38.869999,0
2019-04-10,39.290001,39.290001,39.290001,39.290001,39.290001,0
2019-04-11,39.169998,39.169998,39.169998,39.169998,39.169998,0
2019-04-12,40.279999,40.279999,40.279999,40.279999,40.279999,0
2019-04-15,39.950001,39.950001,39.950001,39.950001,39.950001,0
2019-04-16,40.189999,40.189999,40.189999,40.189999,40.189999,0
2019-04-17,40.230000,40.230000,40.230000,40.230000,40.230000,0
2019-04-18,40.110001,40.110001,40.110001,40.110001,40.110001,0
2019-04-22,41.020000,41.020000,41.020000,41.020000,41.020000,0
2019-04-23,41.080002,41.080002,41.080002,41.080002,41.080002,0
2019-04-24,40.279999,40.279999,40.279999,40.279999,40.279999,0
2019-04-25,39.970001,39.970001,39.970001,39.970001,39.970001,0
2019-04-26,39.500000,39.500000,39.500000,39.500000,39.500000,0
2019-04-29,39.439999,39.439999,39.439999,39.439999,39.439999,0
2019-04-30,39.279999,39.279999,39.279999,39.279999,39.279999,0
2019-05-01,38.299999,38.299999,38.299999,38.299999,38.299999,0
2019-05-02,37.509998,37.509998,37.509998,37.509998,37.509998,0
2019-05-03,38.020000,38.020000,38.020000,38.020000,38.020000,0
